Type, Compression(0-9), TempsMoyenCompression(ms), TempsMoyenDecompression(ms), TailleInitiale(ko), TailleCompressee(ko)
0, 0, 39.29, 40.41, 10000.0, 10001.658
0, 1, 51.866, 40.096, 10000.0, 43.778
0, 2, 52.009, 39.241, 10000.0, 43.778
0, 3, 52.073, 39.092, 10000.0, 43.778
0, 4, 90.33, 68.186, 10000.0, 9.861
0, 5, 97.679, 72.918, 10000.0, 9.861
0, 6, 118.321, 82.455, 10000.0, 9.861
0, 7, 96.499, 72.419, 10000.0, 9.861
0, 8, 99.948, 72.906, 10000.0, 9.861
0, 9, 98.572, 72.332, 10000.0, 9.861
1, 0, 41.16, 39.88, 10486.942, 10488.675
1, 1, 547.787, 322.638, 10486.942, 8427.739
1, 2, 556.352, 326.449, 10486.942, 8427.502
1, 3, 583.634, 339.969, 10486.942, 8428.538
1, 4, 651.053, 370.554, 10486.942, 8397.578
1, 5, 696.648, 403.955, 10486.942, 8397.361
1, 6, 1221.183, 665.683, 10486.942, 8397.361
1, 7, 1180.138, 663.617, 10486.942, 8397.361
1, 8, 1057.984, 589.946, 10486.942, 8397.361
1, 9, 950.423, 554.739, 10486.942, 8397.361
